202-5-100-475;4;6;10;202;5;100;475;HOLARGOS;;23 48 01;38 00 24;25;65
202-5-100-476;4;6;10;202;5;100;476;HOLARGOS;;23 48 01;38 00 24;160;65
202-5-100-477;4;6;10;202;5;100;477;HOLARGOS;;23 48 01;38 00 24;270;65
202-5-100-481;4;6;10;202;5;100;481;HALANDRI;;23 48 02;38 01 14;40;65
202-5-100-482;4;6;10;202;5;100;482;HALANDRI;;23 48 02;38 01 14;160;65
202-5-100-483;4;6;10;202;5;100;483;HALANDRI;;23 48 02;38 01 14;280;65
202-5-100-485;4;6;10;202;5;100;485;HALANDRI;;23 48 02;38 01 14;40;65
202-5-100-486;4;6;10;202;5;100;486;HALANDRI;;23 48 02;38 01 14;160;65
202-5-100-487;4;6;10;202;5;100;487;HALANDRI;;23 48 02;38 01 14;280;65
202-5-61-522;4;6;9;202;5;61;522;PALLINI;;23 52 59;38 00 39;200;65
202-5-61-526;4;6;9;202;5;61;526;PALLINI;;23 52 59;38 00 39;200;65
202-5-82-531;4;6;9;202;5;82;531;KOROPI;;23 52 19;37 53 33;45;65
202-5-82-532;4;6;9;202;5;82;532;KOROPI;;23 52 19;37 53 33;100;65
202-5-82-533;4;6;9;202;5;82;533;KOROPI;;23 52 19;37 53 33;170;65
202-5-82-534;4;6;9;202;5;82;534;KOROPI;;23 52 19;37 53 33;305;65
202-5-82-535;4;6;9;202;5;82;535;KOROPI;;23 52 19;37 53 33;45;65
202-5-82-537;4;6;9;202;5;82;537;KOROPI;;23 52 19;37 53 33;170;65
202-5-82-538;4;6;9;202;5;82;538;KOROPI;;23 52 19;37 53 33;350;65
202-5-82-539;4;6;9;202;5;82;539;KOROPI;;23 52 19;37 53 33;350;65
202-5-100-541;4;6;10;202;5;100;541;PENTAGONO;;23 47 22;38 00 05;30;65
202-5-100-542;4;6;10;202;5;100;542;PENTAGONO;;23 47 22;38 00 05;170;65
202-5-100-543;4;6;10;202;5;100;543;PENTAGONO;;23 47 22;38 00 05;270;65
202-5-100-545;4;6;10;202;5;100;545;PENTAGONO;;23 47 22;38 00 05;30;65
202-5-100-547;4;6;10;202;5;100;547;PENTAGONO;;23 47 22;38 00 05;270;65
202-5-82-571;4;6;9;202;5;82;571;AGIA MARINA;;24 03 20;38 10 43;20;65
202-5-90-581;4;6;9;202;5;90;581;TZITZIFIES;;23 41 17;37 56 30;40;65
202-5-90-582;4;6;9;202;5;90;582;TZITZIFIES;;23 41 17;37 56 30;155;65
202-5-90-583;4;6;9;202;5;90;583;TZITZIFIES;;23 41 17;37 56 30;290;65
202-5-90-585;4;6;9;202;5;90;585;TZITZIFIES;;23 41 17;37 56 30;40;65
202-5-90-586;4;6;9;202;5;90;586;TZITZIFIES;;23 41 17;37 56 30;155;65
202-5-90-587;4;6;9;202;5;90;587;TZITZIFIES;;23 41 17;37 56 30;290;65
202-5-100-591;4;6;10;202;5;100;591;SIDERA HALANDRIOU;;23 47 24;38 01 29;110;65
202-5-100-592;4;6;10;202;5;100;592;SIDERA HALANDRIOU;;23 47 24;38 01 29;200;65
202-5-100-593;4;6;10;202;5;100;593;SIDERA HALANDRIOU;;23 47 24;38 01 29;310;65
202-5-100-596;4;6;10;202;5;100;596;SIDERA HALANDRIOU;;23 47 24;38 01 29;200;65
202-5-100-597;4;6;10;202;5;100;597;SIDERA HALANDRIOU;;23 47 24;38 01 29;310;65
202-5-100-599;4;6;10;202;5;100;599;SIDERA HALANDRIOU;;23 47 24;38 01 29;250;65
202-5-100-601;4;6;10;202;5;100;601;AISOPOU MAROUSI;;23 48 11;38 03 35;60;65
202-5-100-602;4;6;10;202;5;100;602;AISOPOU MAROUSI;;23 48 11;38 03 35;210;65
202-5-100-603;4;6;10;202;5;100;603;AISOPOU MAROUSI;;23 48 11;38 03 35;320;65
202-5-31-611;4;6;9;202;5;31;611;KASTRI;;23 50 58;38 06 11;10;65
202-5-31-613;4;6;9;202;5;31;613;KASTRI;;23 50 58;38 06 11;270;65
202-5-31-617;4;6;9;202;5;31;617;KASTRI;;23 50 58;38 06 11;270;65
202-5-46-641;4;6;9;202;5;46;641;MELIGALAS MESSINIAS 2;;21 58 36;37 14 34;25;65
202-5-46-642;4;6;9;202;5;46;642;MELIGALAS MESSINIAS 2;;21 58 36;37 14 34;90;65
