202-10-10300-10081;AA0081;34;23 49 57;38 16 29;65;35;MILESI (MARKOPOULO)
202-10-10300-20081;AA0082;34;23 49 57;38 16 29;65;35;MILESI (MARKOPOULO)
202-10-10300-30081;AA0083;34;23 49 57;38 16 29;65;35;MILESI (MARKOPOULO)
202-10-10110-10091;AA0091;34;24 03 49;37 47 45;60;35;KOKKINOKORFI
202-10-10110-20091;AA0092;34;24 03 49;37 47 45;60;35;KOKKINOKORFI
202-10-10110-30091;AA0093;34;24 03 49;37 47 45;60;35;KOKKINOKORFI
202-10-10110-40091;AA0094;34;24 03 49;37 47 45;65;35;KOKKINOKORFI
202-10-15000-10101;AA0101;34;23 25 57;38 06 50;60;35;SOTIROS
202-10-15000-20101;AA0102;34;23 25 57;38 06 50;60;35;SOTIROS
202-10-14200-10111;AA0111;34;23 51 42;38 05 32;65;35;PENDELI
202-10-14200-20111;AA0112;34;23 51 42;38 05 32;66;35;PENDELI
202-10-14600-30111;AA0113;34;23 51 42;38 05 32;36;35;PENDELI
202-10-14200-40111;AA0114;34;23 51 42;38 05 32;65;35;PENDELI
202-10-14200-50111;AA0115;34;23 51 42;38 05 32;66;35;PENDELI
202-10-14600-60111;AA0116;34;23 51 42;38 05 32;10;35;PENDELI
202-10-10110-10121;AA0121;34;24 00 25;37 52 48;66;35;PORTO RAFTI
202-10-10110-20121;AA0122;34;24 00 25;37 52 48;66;35;PORTO RAFTI
202-10-10110-30121;AA0123;34;24 00 25;37 52 48;66;35;PORTO RAFTI
202-10-10110-40124;AA0124;34;24 00 25;37 52 48;66;35;PORTO RAFTI
202-10-10110-50124;AA0125;34;24 00 25;37 52 48;66;35;PORTO RAFTI
202-10-10110-60124;AA0126;34;24 00 25;37 52 48;66;35;PORTO RAFTI
202-10-10110-10131;AA0131;34;23 56 27;38 04 14;65;35;AG. PETROS
202-10-10110-20131;AA0132;34;23 56 27;38 04 14;65;35;AG. PETROS
202-10-10110-40131;AA0134;34;23 56 27;38 04 14;65;35;AG. PETROS
202-10-10110-50131;AA0135;34;23 56 27;38 04 14;65;35;AG. PETROS
202-10-10110-60131;AA0136;34;23 56 27;38 04 14;65;35;AG. PETROS
202-10-15000-10141;AA0141;34;23 30 05;38 03 11;60;35;MANDRA
202-10-15000-20141;AA0142;34;23 30 05;38 03 11;60;35;MANDRA
202-10-15000-50141;AA0145;34;23 30 05;38 03 11;60;35;MANDRA
202-10-15000-10151;AA0151;34;23 27 33;37 43 32;120;35;AEGINA
202-10-15000-20151;AA0152;34;23 27 33;37 43 32;65;74;AEGINA
202-10-15000-40151;AA0154;34;23 27 33;37 43 32;65;35;AEGINA
202-10-15000-50151;AA0155;34;23 27 33;37 43 32;65;35;AEGINA
202-10-15000-10171;AA0171;34;23 38 39;38 01 37;60;35;ASPROPYRGOS
202-10-15000-20171;AA0172;34;23 38 39;38 01 37;65;35;ASPROPYRGOS
202-10-10800-40171;AA0174;34;23 38 39;38 01 37;60;35;ASPROPYRGOS
202-10-15000-50171;AA0175;34;23 38 39;38 01 37;60;35;ASPROPYRGOS
202-10-15000-60171;AA0176;34;23 38 39;38 01 37;66;35;ASPROPYRGOS
202-10-10100-10181;AA0181;34;23 55 26;37 48 24;65;35;KERATEA
202-10-10100-20181;AA0182;34;23 55 26;37 48 24;65;35;KERATEA
202-10-10100-30181;AA0183;34;23 55 26;37 48 24;65;35;KERATEA
